S2 LUI Lua binding table -- g_luiLuaBindings @ IDA 0x00B37F30, 664 entries
luaL_Reg {const char* name, lua_CFunction fn}, 16-byte stride.
Self-naming: name and pointer in the same record, so every name is PROVEN.

Inventory_IsLootItem                               0x0011F880
Inventory_IsChallengeItem                          0x0011F8F0
Inventory_IsEntitlementItem                        0x0011F960
Inventory_AcknowledgeExpiredItemsWrapper           0x0011F9D0
Inventory_GetExpiredItemsWrapperIDs                0x0011FA90
Inventory_GetExpiredItemsWrapperData               0x0011FBB0
Inventory_IsItemLootRoll                           0x0011FD00
Inventory_PurchaseSKU                              0x0011FDF0
Inventory_GetSKUInfo                               0x0011FF90
Inventory_GetSKUInfoSKUData                        0x001202C0
Inventory_GetSKUInfoItems                          0x00120390
Inventory_AreSKUsFetched                           0x00120610
Inventory_FetchAllSKUs                             0x00120670
Inventory_GetAllSKUIDs                             0x00120760
Inventory_GetCurrencyBalance                       0x00120940
Inventory_GetCurrencyReceivedPostMatch             0x00120A20
Inventory_GetItemsReceivedPostMatch                0x00120B60
Inventory_GetItemCountReceivedPostMatch            0x00120D00
Inventory_FetchLimitedSKUsQuantities               0x00120870
Inventory_FetchPlayerUsageTime                     0x00121210
Inventory_GetPlayerUsageTime                       0x00121230
Inventory_ApplyConversionRule                      0x00121250
Inventory_IsCollectionComplete                     0x00120E50
Inventory_GetCollectionProgress                    0x00120F30
Inventory_RedeemCollectionReward                   0x00121040
Inventory_GetItemCollectionID                      0x00121190
AE_GetNextPeriodStart                              0x00121870
AE_GetActivationLimit                              0x00121950
AE_FetchScheduledChallenges                        0x00121760
AE_GetScheduledChallenges                          0x00121A00
AE_GetPlayerAchievementInfo                        0x001213B0
AE_FetchPlayerActiveChallenges                     0x00121D00
AE_ArePlayerAchievementsFetched                    0x00121E90
AE_GetPlayerActiveChallenges                       0x00121F40
AE_ActivatePlayerChallenge                         0x001222C0
AE_DeactivatePlayerChallenge                       0x00122700
